Release Year,Origin/Ethnicity,Director,Cast
1914,American,"George Nichols, Mack Sennett","Charlie Chaplin, Edgar Kennedy, Minta Durfee"
1914,American,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Fritz Schade"
1914,American,D. W. Griffith,"Donald Crisp, Blanche Sweet, Mae Marsh"
1914,American,George Nichols,"Charlie Chaplin, Fatty Arbuckle, Mabel Normand"
1914,American,Sydney Drew,"Sydney Drew, Edith Storey"
1914,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Chester Conklin"
1914,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Phyllis Allen"
1914,American,Edward LeSaint,"Earle Foxe, Bertram Grassby"
1914,American,J. Farrell MacDonald,"Violet MacMillan, Pierre Couderc"
1914,American,"Charlie Chaplin, Mabel Normand",Comedy
1914,American,D. W. Griffith,"Earle Foxe, Henry B. Walthall, Dorothy Gish"
1914,American,,William Garwood
1914,American,Edward S. Curtis,
1914,American,Charles Avery,"Charlie Chaplin, Fatty Arbuckle, Edgar Kennedy"
1914,American,Charlie Chaplin,"Charlie Chaplin, Fritz Schade"
1914,American,"Mabel Normand, Mack Sennett","Charlie Chaplin, Mabel Normand"
1914,American,Mabel Normand,"Mabel Normand, Charly Chase, Al St. John"
1914,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand"
1914,American,Henry Lehrman,"Charlie Chaplin, Mabel Normand"
1914,American,Henry Lehrman,"Charlie Chaplin, Virginia Kirtley, Alice Davenport"
1914,American,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle"
1914,American,Herbert Brenon,"Annette Kellerman, William E. Shay, William Welsh"
1914,American,Charlie Chaplin,"Charlie Chaplin, Jess Dandy, John T. Dillon"
1914,American,Louis J. Gasnier,Pearl White
1914,American,Charlie Chaplin,"Charlie Chaplin, Phyllis Allen, Alice Davenport"
1914,American,Charles Chaplin,Charles Chaplin
1914,American,Cecil B. DeMille,"Bessie Barriscale, Jane Darwell, Jeanie MacPherson"
1914,American,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle, Phyllis Allen"
1914,American,William Nigh,"Beatriz Michelena, House Peters"
1914,American,Edwin McKim,"Lea Leland, Leonid Samoloff"
1914,American,"Oscar Apfel, Cecil B. DeMille",Dustin Farnum
1914,American,William Desmond Taylor,"William Garwood, Harry von Meter"
1914,American,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Cecile Arnold"
1914,American,Mack Sennett,"Charlie Chaplin, Marie Dressler, Mabel Normand, Keystone Kops"
1914,American,Reginald Barker,"Sessue Hayakawa, Tsuru Aoki, Frank Borzage"
1915,American,Cecil B. DeMille,"Edward Abeles, Sessue Hayakawa"
1915,American,J. Gordon Edwards,Betty Nansen and Edward José
1915,American,D. W. Griffith,"Lillian Gish, Mae Marsh"
1915,American,B. Reeves Eason,"Vivian Rich, Gayne Whitman"
1915,American,Cecil B. DeMille,"Blanche Sweet, House Peters"
1915,American,Cecil B. DeMille,"Geraldine Farrar, Wallace Reid"
1915,American,Charles Chaplin,Charles Chaplin
1915,American,Cecil B. DeMille,"Fannie Ward, Sessue Hayakawa"
1915,American,Cecil B. DeMille,Victor Moore
1915,American,Christy Cabanne,"Alfred Paget, Lillian Gish"
1915,American,Frank Powell,"Theda Bara, Edward Jose"
1915,American,J. Searle Dawley,"Edgar L. Davenport, Fuller Mellish"
1915,American,Hal Roach,Harold Lloyd
1915,American,Hal Roach,Harold Lloyd
1915,American,George Foster Platt,"Audrey Munson, Thomas A. Curran"
1915,American,Reginald Barker,"George Beban, Clara Williams"
1915,American,Mack Sennett,"Charley Chase, Dora Rodgers"
1915,American,Edwin Middleton,W. C. Fields
1915,American,Charles Brabin,Henry Walthall
1915,American,Herbert Brenon,Valeska Suratt
1915,American,Thomas H. Ince,Louise Glaum
1915,American,Charles Chaplin,Charles Chaplin
1915,American,Cecil B. DeMille,"Blanche Sweet, James Neill"
1915,American,Charlie Chaplin,"Charles Chaplin, Edna Purviance"
1916,American,Stuart Paton,"Lois Alexander, Curtis Benton, Wallace Clarke, Allen Holubar"
1916,American,Donald MacDonald,"Forrest Taylor, Harry von Meter, Helene Rosson"
1916,American,William S. Hart,"William S. Hart, Louise Glaum, Bessie Love"
1916,American,Edgar Lewis,"William Farnum, Dorothy Bernard, L.O. Hart,"
1916,American,Reginald Barker,"Howard C. Hickman, Enid Markey, George Fisher"
1916,American,Herbert Brenon,"Annette Kellerman, Hal De Forrest"
1916,American,Frederick Sullivan,"Florence La Badie, Edwin Stanley, Ethelmary Oakland"
1916,American,"Roscoe ""Fatty"" Arbuckle","Roscoe ""Fatty"" Arbuckle, Mabel Normand"
1916,American,Charlie Chaplin,"Charlie Chaplin, Edna Purviance, Lloyd Bacon"
1916,American,"William S. Hart, Charles Swickard, Clifford Smith","William S. Hart, Clara Williams"
1916,American,Lloyd Ingraham,"Mae Marsh, Robert Harron"
1916,American,John B. O'Brien,"Mary Pickford, Frank Losee"
1916,American,Cecil B. DeMille,Geraldine Farrar
1916,American,Van Dyke Brooke,"Leah Baird, Walter McGrail, Adele DeGarde"
1916,American,Hal Roach,"Harold Lloyd, Bebe Daniels"
1916,American,George F. Marion,"Dorothy Donnelly, John Bowers"
1916,American,"William Russell, Jack Prescott","Charlotte Burton, Harry Keenan"
1916,American,Allan Dwan,"Douglas Fairbanks, Jewel Carmen"
1916,American,Charlie Chaplin,Charlie Chaplin
1916,American,Tom Ricketts,"Harold Lockwood, May Allison"
1916,American,Arthur Berthelet,"William Gillette, Edward Fielding"
1916,American,Ulysses Davis,Patricia Palmer
1916,American,"Reginald Barker, Thomas H. Ince","Frank Keenan, Mary Boland"
1916,American,J. Gordon Edwards,"Theda Bara, Herbert Heyes"
1916,American,Phillips Smalley,"Tyrone Power, Sr., Juan de la Cruz"
1916,American,William C. Dowlan,"Mary Miles Minter, Wallace MacDonald"
1917,American,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels"
1917,American,Chester Withey,"Robert Harron, Richard Cummings"
1917,American,John Ford,"Harry Carey, Molly Malone"
1917,American,Fatty' Arbuckle,"Fatty' Arbuckle , Buster Keaton"
1917,American,J. Gordon Edwards,"Theda Bara, Alan Roscoe"
1917,American,John Ford,"Harry Carey, Gertrude Astor"
1917,American,J. Gordon Edwards,"Theda Bara, Fritz Leiber, Sr., Thurston Hall"
1917,American,Cecil B. DeMille,"Geraldine Farrar, Wallace Reid"
1917,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance"
1917,American,Ivan Abramson,
1917,American,Reginald Barker,Louise Glaum
1917,American,Robert G. Vignola,"Jack Pickford, Louise Huff"
1917,American,Wray Bartlett Physioc,"Grace Darmond, Niles Welch"
1917,American,Paul Scardon,"Peggy Hyland, Antonio Moreno"
1917,American,Roscoe Arbuckle,"Fatty' Arbuckle, Buster Keaton"
1917,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance"
1917,American,John Emerson,Douglas Fairbanks
1917,American,Tod Browning,Mabel Taliaferro
1917,American,Cecil B. DeMille,Mary Pickford
1917,American,Marshall Neilan,"Mary Pickford, Norman Kerry and ZaSu Pitts"
1917,American,Ernest C. Warde,"Florence La Badie, Holmes Herbert"
1917,American,Henry King,"Mary Miles Minter, Allan Forrest"
1917,American,Allan Dwan,"Douglas Fairbanks, Marjorie Daw"
1917,American,Roscoe Arbuckle,"Fatty' Arbuckle, Buster Keaton"
1917,American,Tod Browning,"Mabel Taliaferro, Thomas Carrigan"
1917,American,Maurice Tourneur,Mary Pickford
1917,American,John Emerson,"Douglas Fairbanks, Eileen Percy"
1917,American,Marshall Neilan,Mary Pickford
1917,American,Roscoe Arbuckle,"Fatty' Arbuckle, Al St. John"
1917,American,"Roscoe Arbuckle, Buster Keaton","Fatty' Arbuckle, Buster Keaton"
1917,American,Henry King,"Gail Kane, Douglas MacLean"
1917,American,John Ford,Harry Carey
1917,American,Reginald Barker,Louise Glaum
1917,American,John Emerson,Douglas Fairbanks
1917,American,Cecil B. DeMille,Wallace Reid
1918,American,Hobart Henley,"Mae Marsh, Jere Austin"
1918,American,Marshall Neilan,Mary Pickford
1918,American,Gilbert Pratt,"Harold Lloyd, Snub Pollard"
1918,American,Albert Parker,"Douglas Fairbanks, Theodore Roberts"
1918,American,Henry King,"Mary Miles Minter, Allan Forrest"
1918,American,Donald Crisp,"Wallace Reid, Ann Little, Noah Beery"
1918,American,Roscoe Arbuckle,"Fatty Arbuckle, Buster Keaton"
1918,American,Maurice Tourneur,Tula Belle
1918,American,Allan Dwan,"Douglas Fairbanks, Pauline Curley"
1918,American,Robert Z. Leonard,"Mae Murray, Lew Cody"
1918,American,Julius Steger,Marion Davies
1918,American,Roscoe Arbuckle,"Fatty Arbuckle, Buster Keaton"
1918,American,John Ford,"Francis Ford, Mae Gaston"
1918,American,Tod Browning,"Edith Roberts, Hallam Cooley"
1918,American,Lloyd Ingraham,"Mary Miles Minter, Allan Forrest"
1918,American,Tod Browning,"Edith Storey, Bradley Barker"
1918,American,Robert Z. Leonard,"Mae Murray, Wheeler Oakman"
1918,American,Sidney Franklin,"Norma Talmadge, Thomas Meighan"
1918,American,Clarence G. Badger,"Madge Kennedy, Rockliffe Fellowes"
1918,American,Fred Niblo,"Enid Bennett, Douglas MacLean"
1918,American,Willis O'Brien,"Herbert M. Dawley, Willis O'Brien"
1918,American,Wallace Worsley,Louise Glaum
1918,American,D.W. Griffith,"George Fawcett, Lilian Gish"
1918,American,D.W. Griffith,"Robert Harron, Lillian Gish"
1918,American,Allan Dwan,"Douglas Fairbanks, Marjorie Daw"
1918,American,Allan Dwan,"Douglas Fairbanks, Katherine MacDonald"
1918,American,Allen Holubar,"Dorothy Phillips, William Stowell"
1918,American,D. W. Griffith,"Lillian Gish, Dorothy Gish"
1918,American,John Ford,"Harry Carey, Duke R. Lee"
1918,American,Albert Capellani,Katherine Harris Barrymore
1918,American,William Desmond Taylor,"Jack Pickford, Robert Gordon"
1918,American,Tod Browning,"Edith Storey, Philo McCullough"
1918,American,Arthur Berthelet,"Mary MacLane, Ralph Graves"
1918,American,"F. Richard Jones, James Young",Mabel Normand
1918,American,,"Fatty' Arbuckle,Buster Keaton"
1918,American,Allan Dwan,"Douglas Fairbanks, Wanda Hawley"
1918,American,B. Reeves Eason,Mitchell Lewis
1918,American,Gilbert Pratt,Harold Lloyd
1918,American,Cecil B. DeMille,"Elliott Dexter, Florence Vidor"
1918,American,Max Fleischer Dave Fleischer,
1918,American,Roscoe Arbuckle,"Fatty Arbuckle, Buster Keaton"
1918,American,Henry King,"Mary Miles Minter, Allan Forrest"
1918,American,Tod Browning,"Edith Storey, Wheeler Oakman"
1918,American,Wilfred Lucas,"Elmo Lincoln, Enid Markey"
1918,American,J. Gordon Edwards,"Theda Bara, G. Raymond Nye"
1918,American,John Ford,"Harry Carey, Molly Malone"
1918,American,Tod Browning,"Edith Roberts, Harold Goodwin"
1918,American,Charles Chaplin,"Charlie Chaplin, Sydney Chaplin"
1918,American,Henry King,"Mary Miles Minter, Allan Forrest"
1918,American,Cecil B. DeMille,"Elliott Dexter, Ann Little"
1918,American,Marshall Neilan,Mary Pickford
1918,American,Scott Sidney,Elmo Lincoln and Enid Markey
1918,American,Cecil B. DeMille,"Bryant Washburn, Florence Vidor"
1918,American,Sidney Franklin Chester Franklin,"Francis Carpenter, Virginia Lee Corbin"
1918,American,J. Gordon Edwards,"Theda Bara, G. Raymond Nye"
1918,American,Emile Chautard,"Elsie Ferguson, Eugene O'Brien"
1918,American,Clarence G. Badger,"Mabel Normand, Rod La Rocque"
1918,American,Cecil B. DeMille,"Kathlyn Williams, Elliott Dexter"
1918,American,Fred Niblo,"Enid Bennett, Albert Ray"
1918,American,"Tod Browning, Harry A. Pollard","Ella Hall, A. Edward Sutherland"
1918,American,Cecil B. DeMille,"Raymond Hatton, Kathlyn Williams"
1919,American,William Desmond Taylor,"Mary Miles Minter, Paul Kelly"
1919,American,Hal Roach,"Harold Lloyd, Bebe Daniels"
1919,American,Fatty Arbuckle,"Fatty Arbuckle, Buster Keaton"
1919,American,King Vidor,"David Butler, ZaSu Pitts"
1919,American,Erich von Stroheim,"Erich von Stroheim, Francelia Billington"
1919,American,"Harley Knoles, Lewis J. Selznick.",Robert Frazer
1919,American,D. W. Griffith,"Lillian Gish, Richard Barthelmess"
1919,American,Hal Roach,"Harold Lloyd, Bebe Daniels"
1919,American,Marshall Neilan,Mary Pickford
1919,American,Fred Niblo,"Lloyd Hughes, Barbara Castleton"
1919,American,Charlie Chaplin,"Charlie Chaplin, Edna Purviance"
1919,American,Robert Z. Leonard,"Mae Murray, Rudolph Valentino"
1919,American,Cecil B. DeMille,"Gloria Swanson, Elliott Dexter"
1919,American,Ivan Abramson,"Charles Richman, Leah Baird"
1919,American,Tod Browning,"Priscilla Dean, Thurston Hall"
1919,American,Irvin Willat,"Henry B. Walthall, Lon Chaney"
1919,American,Cecil B. DeMille,"Elliott Dexter, Gloria Swanson"
1919,American,"Alfred J. Goulding, Hal Roach","Harold Lloyd, Mildred Davis"
1919,American,D.W. Griffith,"Adolf Lestina, Carol Dempster"
1919,American,Irvin Willat,"Harry Houdini, Thomas Jefferson"
1919,American,John Ford,"Harry Carey, J. Barney Sherry"
1919,American,Fred Niblo,"Enid Bennett, Hallam Cooley"
1919,American,Fred Niblo,"Enid Bennett, Jack Nelson"
1919,American,James Cruze,"Wallace Reid, Lila Lee"
1919,American,Joseph De Grasse Sidney Franklin,"Mary Pickford, Harold Goodwin"
1919,American,Joseph Henabery,"Douglas Fairbanks, Marjorie Daw"
1919,American,Oscar Micheaux,Evelyn Preer
1919,American,Fred Niblo,"Enid Bennett, Niles Welch"
1919,American,John Francis Dillon,"Olive Thomas, Ann Kroman"
1919,American,Cecil B. DeMille,"Gloria Swanson, Thomas Meighan"
1919,American,Thomas N. Heffron,"Dustin Farnum, Harry von Meter"
1919,American,George Loane Tucker,"Lon Chaney, Betty Compson"
1919,American,Robert Z. Leonard,"Lucy Cotton, Wyndham Standing"
1919,American,Maurice Tourneur,"Wyndham Standing, Sylvia Breamer"
1919,American,B. Reeves Eason,"Mitchell Lewis, Jimsy Maye"
1919,American,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels"
1919,American,Sidney Franklin,"Norma Talmadge, Thomas Meighan"
1919,American,Oscar Apfel,"Aurora Mardiganian, Irving Cummings"
1919,American,James Cruze,"Wallace Reid, Ann Little"
1919,American,James Young,"Earle Williams, Harry von Meter"
1919,American,D.W. Griffith,"Lillian Gish, Robert Harron"
1919,American,Arthur Rosson,"Louise Glaum, Matt Moore"
1919,American,D.W. Griffith,"Richard Barthelmess, Eugenie Besserer"
1919,American,George Fitzmaurice,"Elsie Ferguson, Zeffie Tilbury"
1919,American,Allan Dwan,"Wallace Beery, Ogden Crane"
1919,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance"
1919,American,John S. Robertson,"John Barrymore, Constance Binney"
1919,American,D.W. Griffith,"Lillian Gish, Bobby Harron"
1919,American,King Vidor,"George Nichols, Lloyd Hughes"
1919,American,Tod Browning,"Mary MacLaren, Thurston Hall"
1919,American,Fred Niblo,"Enid Bennett, Niles Welch"
1919,American,Fred Niblo,"Enid Bennett, Milton Sills"
1919,American,"Victor Fleming, Theodore Reed","Douglas Fairbanks, Kathleen Clifford"
1919,American,Maurice Tourneur,"Holmes Herbert, Ben Alexander"
1919,American,Frank Lloyd,"Geraldine Farrar, Lou Tellegen"
1919,American,F. Richard Jones,"Bothwell Browne, Ford Sterling"
1919,American,James Cruze,"Wallace Reid, Wanda Hawley"
1920,American,"Charles Christie, Scott Sidney","Wedgwood Nowell, Ralph Lewis, Wallace Beery, Laura La Plante"
1920,American,Fred C. Newmeyer,"Harold Lloyd, Mildred Davis"
1920,American,Robert Z. Leonard,"Marion Davies, Conway Tearle"
1920,American,Edward Sloman,"Walter McGrail, Leatrice Joy"
1920,American,Ivan Abramson,"Gladys Leslie, Creighton Hale"
1920,American,"Edward F. Cline, Buster Keaton","Buster Keaton, Joe Roberts"
1920,American,Charles Maigne,"Lionel Barrymore, Doris Rankin"
1920,American,Erich von Stroheim,"Sam de Grasse, Mae Busch"
1920,American,Alfred E. Green,"Jack Pickford, Marie Dunn"
1920,American,John S. Robertson,John Barrymore
1920,American,Fred Niblo,"Enid Bennett, Lloyd Hughes"
1920,American,King Vidor,"Florence Vidor, Roscoe Karns"
1920,American,Fatty Arbuckle,"Fatty' Arbuckle, Buster Keaton"
1920,American,John Ford,"Frank Mayo, Elinor Fair"
1920,American,Fred Niblo,"Enid Bennett, Matt Moore, William Conklin"
1920,American,"Alfred J. Goulding, Hal Roach",Harold Lloyd
1920,American,Fred Niblo,"Enid Bennett, Rowland V. Lee"
1920,American,Hal Roach,Harold Lloyd
1920,American,William Desmond Taylor,"Lewis Sargent, Wallace Beery"
1920,American,D.W. Griffith,"Richard Barthelmess, Clarine Seymour"
1920,American,Allan Dwan,"James Kirkwood, Anna Q. Nilsson"
1920,American,King Vidor,"F. A. Turner, Harry Todd"
1920,American,William Desmond Taylor,"Mary Miles Minter, Charles Meredith"
1920,American,Hugh Ford,"Elsie Ferguson, David Powell"
1920,American,"Clarence Brown, Maurice Tourneur",Wallace Beery
1920,American,Wesley Ruggles,"Louise Glaum, James Kirkwood, Sr."
1920,American,D.W. Griffith,"Carol Dempster, Richard Barthelmess"
1920,American,Frank Lloyd,Pauline Frederick
1920,American,Clarence G. Badger,"William Faversham, Hedda Hopper"
1920,American,Fred Niblo,"Douglas Fairbanks, Marguerite De La Motte"
1920,American,"Edward F. Cline, Buster Keaton","Buster Keaton, Virginia Fox"
1920,American,"Fred C. Newmeyer, Hal Roach","Harold Lloyd, Mildred Davis"
1920,American,"Fred C. Newmeyer, Hal Roach",Harold Lloyd
1920,American,John Ince,"Emma Dunn, Henry Harmon"
1920,American,"Edward F. Cline, Buster Keaton",Buster Keaton
1920,American,Wallace Worsley,"Charles Clary, Lon Chaney"
1920,American,Paul Powell,Howard Ralston
1920,American,D.W. Griffith,"Dorothy Gish, James Rennie"
1920,American,Chester Withey,"Doris Keane, Basil Sydney"
1920,American,George Melford,"Fatty Arbuckle, Irving Cummings"
1920,American,Herbert Blaché,Buster Keaton
1920,American,"Edward F. Cline, Buster Keaton",Buster Keaton
1920,American,Fred Niblo,"Louise Glaum, Irving Cummings"
1920,American,Rex Ingram,"Alice Lake, Robert D. Walker"
1920,American,Fred Niblo,"Enid Bennett, Geoffrey Webb"
1920,American,Alfred E. Green,"House Peters, Mary Alden"
1920,American,James P. Hogan,"Ormer Locklear, Louise Lovely"
1920,American,Victor Schertzinger,"Mabel Normand, Tully Marshall"
1920,American,Cecil B. DeMille,"Elliott Dexter, Gloria Swanson"
1920,American,Allan Dwan,"Henry B. Walthall, Rosemary Theby"
1920,American,John Francis Dillon,"Mary Pickford, Albert Austin"
1920,American,Maurice Tourneur,"Lon Chaney, Shirley Mason"
1920,American,Tod Browning,"Priscilla Dean, Wallace Beery"
1920,American,D. W. Griffith,Lillian Gish
1920,American,Cecil B. DeMille,"Gloria Swanson, Thomas Meighan, Bebe Daniels"
1920,American,Oscar Micheaux,Evelyn Preer
1920,American,Fred Niblo,"Enid Bennett, William Conklin"
1921,American,Wallace Worsley,"Lon Chaney, Leatrice Joy, John Bowers, Hardee Kirkland, Raymond Hatton"
1921,American,"Robert F. Hill, Scott Sidney",
1921,American,Cecil B. DeMille,"Wallace Reid, Gloria Swanson"
1921,American,Scott Sidney,
1921,American,Fred C. Newmeyer,Harold Lloyd
1921,American,John Ford,"Buck Jones, Barbara Bedford"
1921,American,"Phillips Smalley, Lois Weber",Claire Windsor
1921,American,"Edward F. Cline, Buster Keaton",Buster Keaton
1921,American,Joseph Henabery,"Fatty Arbuckle, Betty Ross Clarke"
1921,American,Ray C. Smallwood,"Alla Nazimova, Rudolph Valentino, Patsy Ruth Miller"
1921,American,Rex Ingram,"Rudolph Valentino, Alice Terry"
1921,American,Henry Kolker,"George Arliss, Florence Arliss"
1921,American,George Fitzmaurice,"Richard Barthelmess, Reginald Denny"
1921,American,Cecil B. DeMille,"Agnes Ayres, Clarence Burton"
1921,American,George Fitzmaurice,"Wallace Reid, Elsie Ferguson, Montagu Love"
1921,American,Rex Ingram,Rudolph Valentino
1921,American,Buster Keaton,"Buster Keaton, Joe Roberts"
1921,American,"Edward F. Cline, Buster Keaton",Buster Keaton
1921,American,Robert Z. Leonard,"Jane Thomas, Holmes Herbert, Hedda Hopper"
1921,American,"Edward F. Cline, Buster Keaton","Buster Keaton, Bartine Burkett"
1921,American,Hal Roach,Harold Lloyd
1921,American,Charles Chaplin,Charles Chaplin
1921,American,Kenneth Webb,Lionel Barrymore
1921,American,Charlie Chaplin,"Charlie Chaplin, Jackie Coogan"
1921,American,Jack Pickford,Mary Pickford
1921,American,Marshall Neilan,"John Barrymore, Colleen Moore"
1921,American,Frances Marion,"Mary Pickford, Raymond Bloomer"
1921,American,King Vidor,"Lloyd Hughes, Madge Bellamy"
1921,American,Jess Robbins,"Stan Laurel, Oliver Hardy"
1921,American,John S. Robertson,"Constance Binney, Vincent Coleman, Blanche Craig"
1921,American,Victor Fleming,"Constance Talmadge, Effie Shannon, Kenneth Harlan"
1921,American,Fred Niblo,"Lloyd Hughes, Betty Ross Clarke"
1921,American,"Fred Newmeyer, Sam Taylor",Harold Lloyd
1921,American,Tod Browning,"Max Davidson, Snitz Edwards"
1921,American,"Fred C. Newmeyer, Hal Roach","Harold Lloyd, Mildred Davis"
1921,American,Theodore Reed,"Douglas Fairbanks, Marguerite De La Motte"
1921,American,Fenwick L. Holmes,"Margery Wilson, Percy Helton"
1921,American,D. W. Griffith,"Lillian Gish, Dorothy Gish"
1921,American,"Edward F. Cline, Buster Keaton","Buster Keaton, Virginia Fox, Joe Roberts, Edward F. Cline"
1921,American,,Hoot Gibson
1921,American,Frank Lloyd,"Pauline Frederick, John Bowers"
1921,American,Fred C. Newmeyer,Harold Lloyd
1921,American,Rowland V. Lee,"Hobart Bosworth, Bessie Love, Emory Johnson"
1921,American,John S. Robertson,Gareth Hughes
1921,American,Max Linder,"Max Linder, Alta Allen"
1921,American,George Melford,"Rudolph Valentino, Agnes Ayres"
1921,American,Edward Dillon,"Justine Johnstone, Riley Hatch, and Warner Baxter"
1921,American,Roland West,Leslie Austin
1921,American,King Vidor,"John Bowers, Colleen Moore"
1921,American,John Ford,Hoot Gibson
1921,American,Alfred E. Green,"Mary Pickford, Gertrude Astor"
1921,American,Henry King,Richard Barthelmess
1921,American,Wesley Ruggles,"Alice Lake, Carl Gerard, Rudolph Valentino"
1921,American,Tom Forman,Thomas Meighan
1921,American,Victor Fleming,"Constance Talmadge, Kenneth Harlan"
1922,American,Sam Wood,"Gloria Swanson, Rudolph Valentino"
1922,American,Wallace Worsley,"Lon Chaney, Raymond McKee"
1922,American,Fred Niblo,"Rudolph Valentino, Nita Naldi, Lila Lee"
1922,American,William C. deMille,"Wallace Reid, Agnes Ayres"
1922,American,Buster Keaton,Buster Keaton
1922,American,Fred C. Newmeyer,Harold Lloyd
1922,American,King Vidor,Florence Vidor
1922,American,Buster Keaton,Buster Keaton
1922,American,Kenneth Webb,"Betty Blythe, Thurston Hall"
1922,American,Erich von Stroheim,Erich von Stroheim
1922,American,Buster Keaton,Buster Keaton
1922,American,Fred C. Newmeyer,"Harold Lloyd, Mildred Davis"
1922,American,William Beaudine,"Wesley Barry, Marie Prevost, Jack Mulhall"
1922,American,Harry A. Pollard,Hoot Gibson
1922,American,Cecil B. DeMille,"Leatrice Joy, Thomas Meighan"
1922,American,George Melford,"Dorothy Dalton, Charles Brinley"
1922,American,"Victor Heerman, Albert Austin",Jackie Coogan
